source,target,count,label
CAN,USA,28,2005-2010
CAN,USA,238,2000-2005
CAN,USA,190436,1995-2000
CAN,USA,1509,1990-1995
USA,CAN,96074,2005-2010
USA,CAN,84430,2000-2005
USA,CAN,635,1995-2000
USA,CAN,56108,1990-1995
CAN,AGO,20,2005-2010
CAN,AGO,68,2000-2005
CAN,AGO,0,1995-2000
CAN,AGO,1831,1990-1995
CAN,BDI,2121,2005-2010
CAN,BDI,0,2000-2005
CAN,BDI,0,1995-2000
CAN,BDI,0,1990-1995
CAN,BWA,30,2005-2010
CAN,BWA,34,2000-2005
CAN,BWA,4,1995-2000
CAN,BWA,225,1990-1995
CAN,CAF,11,2005-2010
CAN,CAF,4,2000-2005
CAN,CAF,0,1995-2000
CAN,CAF,73,1990-1995
CAN,COD,257,2005-2010
CAN,COD,0,2000-2005
CAN,COD,0,1995-2000
CAN,COD,259,1990-1995
CAN,COG,15,2005-2010
CAN,COG,1,2000-2005
CAN,COG,0,1995-2000
CAN,COG,79,1990-1995
CAN,CPV,5,2005-2010
CAN,CPV,8,2000-2005
CAN,CPV,1,1995-2000
CAN,CPV,19,1990-1995
CAN,DZA,162,2005-2010
CAN,DZA,115,2000-2005
CAN,DZA,21,1995-2000
CAN,DZA,66,1990-1995
CAN,EGY,76,2005-2010
CAN,EGY,36,2000-2005
CAN,EGY,0,1995-2000
CAN,EGY,0,1990-1995
CAN,GAB,1,2005-2010
CAN,GAB,3,2000-2005
CAN,GAB,7,1995-2000
CAN,GAB,84,1990-1995
CAN,GHA,10,2005-2010
CAN,GHA,10,2000-2005
CAN,GHA,19,1995-2000
CAN,GHA,102,1990-1995
CAN,KEN,13,2005-2010
CAN,KEN,0,2000-2005
CAN,KEN,125,1995-2000
CAN,KEN,0,1990-1995
CAN,LBR,62,2005-2010
CAN,LBR,0,2000-2005
CAN,LBR,406,1995-2000
CAN,LBR,49,1990-1995
CAN,MDG,9,2005-2010
CAN,MDG,15,2000-2005
CAN,MDG,0,1995-2000
CAN,MDG,16,1990-1995
CAN,MRT,7,2005-2010
CAN,MRT,9,2000-2005
CAN,MRT,0,1995-2000
CAN,MRT,24,1990-1995
CAN,MUS,5,2005-2010
CAN,MUS,5,2000-2005
CAN,MUS,0,1995-2000
CAN,MUS,6,1990-1995
