code,name,latitude,longitude
ABW,Aruba,12.5,-69.96666666
AFG,Afghanistan,33,65
AGO,Angola,-12.5,18.5
AIA,Anguilla,18.25,-63.16666666
ALA,Åland Islands,60.116667,19.9
ALB,Albania,41,20
AND,Andorra,42.5,1.5
ARE,United Arab Emirates,24,54
ARG,Argentina,-34,-64
ARM,Armenia,40,45
ASM,American Samoa,-14.33333333,-170
ATF,French Southern and Antarctic Lands,-49.25,69.167
ATG,Antigua and Barbuda,17.05,-61.8
AUS,Australia,-27,133
AUT,Austria,47.33333333,13.33333333
AZE,Azerbaijan,40.5,47.5
BDI,Burundi,-3.5,30
BEL,Belgium,50.83333333,4
BEN,Benin,9.5,2.25
BFA,Burkina Faso,13,-2
BGD,Bangladesh,24,90
BGR,Bulgaria,43,25
BHR,Bahrain,26,50.55
BHS,Bahamas,24.25,-76
BIH,Bosnia and Herzegovina,44,18
BLM,Saint Barthélemy,18.5,-63.41666666
SHN,Saint Helena,-15.95,-5.72
BLR,Belarus,53,28
BLZ,Belize,17.25,-88.75
BMU,Bermuda,32.33333333,-64.75
BOL,Bolivia,-17,-65
BES,Caribbean Netherlands,12.18,-68.25
BRA,Brazil,-10,-55
BRB,Barbados,13.16666666,-59.53333333
BRN,Brunei,4.5,114.66666666
BTN,Bhutan,27.5,90.5
BVT,Bouvet Island,-54.43333333,3.4
BWA,Botswana,-22,24
CAF,Central African Republic,7,21
CAN,Canada,60,-95
CCK,Cocos (Keeling) Islands,-12.5,96.83333333
CHE,Switzerland,47,8
CHL,Chile,-30,-71
CHN,China,35,105
CIV,Ivory Coast,8,-5
CMR,Cameroon,6,12
COD,DR Congo,0.01,25
COG,Republic of the Congo,-1,15
COK,Cook Islands,-21.23333333,-159.76666666
COL,Colombia,4,-72
COM,Comoros,-12.16666666,44.25
CPV,Cape Verde,16,-24
CRI,Costa Rica,10,-84
CUB,Cuba,21.5,-80
CUW,Curaçao,12.116667,-68.933333
CXR,Christmas Island,-10.5,105.66666666
CYM,Cayman Islands,19.5,-80.5
CYP,Cyprus,35,33
CZE,Czechia,49.75,15.5
DEU,Germany,51,9
DJI,Djibouti,11.5,43
DMA,Dominica,15.41666666,-61.33333333
DNK,Denmark,56,10
DOM,Dominican Republic,19,-70.66666666
DZA,Algeria,28,3
ECU,Ecuador,-2,-77.5
EGY,Egypt,27,30
ERI,Eritrea,15,39
ESH,Western Sahara,24.5,-13
ESP,Spain,40,-4
EST,Estonia,59,26
ETH,Ethiopia,8,38
FIN,Finland,64,26
FJI,Fiji,-18,175
FLK,Falkland Islands,-51.75,-59
FRA,France,46,2
FRO,Faroe Islands,62,-7
FSM,Micronesia,6.91666666,158.25
GAB,Gabon,-1,11.75
GBR,United Kingdom,54,-2
GEO,Georgia,42,43.5
GGY,Guernsey,49.46666666,-2.58333333
GHA,Ghana,8,-2
GIB,Gibraltar,36.13333333,-5.35
GIN,Guinea,11,-10
GLP,Guadeloupe,16.25,-61.583333
GMB,Gambia,13.46666666,-16.56666666
GNB,Guinea-Bissau,12,-15
GNQ,Equatorial Guinea,2,10
GRC,Greece,39,22
GRD,Grenada,12.11666666,-61.66666666
GRL,Greenland,72,-40
GTM,Guatemala,15.5,-90.25
GUF,French Guiana,4,-53
GUM,Guam,13.46666666,144.78333333
GUY,Guyana,5,-59
HKG,Hong Kong,22.267,114.188
HMD,Heard Island and McDonald Islands,-53.1,72.51666666
HND,Honduras,15,-86.5
HRV,Croatia,45.16666666,15.5
HTI,Haiti,19,-72.41666666
HUN,Hungary,47,20
IDN,Indonesia,-5,120
IMN,Isle of Man,54.25,-4.5
IND,India,20,77
IOT,British Indian Ocean Territory,-6,71.5
IRL,Ireland,53,-8
IRN,Iran,32,53
IRQ,Iraq,33,44
ISL,Iceland,65,-18
ISR,Israel,31.47,35.13
ITA,Italy,42.83333333,12.83333333
JAM,Jamaica,18.25,-77.5
JEY,Jersey,49.25,-2.16666666
JOR,Jordan,31,36
JPN,Japan,36,138
KAZ,Kazakhstan,48,68
KEN,Kenya,1,38
KGZ,Kyrgyzstan,41,75
KHM,Cambodia,13,105
KIR,Kiribati,1.41666666,173
KNA,Saint Kitts and Nevis,17.33333333,-62.75
KOR,South Korea,37,127.5
UNK,Kosovo,42.666667,21.166667
KWT,Kuwait,29.5,45.75
LAO,Laos,18,105
LBN,Lebanon,33.83333333,35.83333333
LBR,Liberia,6.5,-9.5
LBY,Libya,25,17
LCA,Saint Lucia,13.88333333,-60.96666666
LIE,Liechtenstein,47.26666666,9.53333333
LKA,Sri Lanka,7,81
LSO,Lesotho,-29.5,28.5
LTU,Lithuania,56,24
LUX,Luxembourg,49.75,6.16666666
LVA,Latvia,57,25
MAC,Macau,22.16666666,113.55
MAF,Saint Martin,18.08333333,-63.95
MAR,Morocco,32,-5
MCO,Monaco,43.73333333,7.4
MDA,Moldova,47,29
MDG,Madagascar,-20,47
MDV,Maldives,3.25,73
MEX,Mexico,23,-102
MHL,Marshall Islands,9,168
MKD,Macedonia,41.83333333,22
MLI,Mali,17,-4
MLT,Malta,35.83333333,14.58333333
MMR,Myanmar,22,98
MNE,Montenegro,42.5,19.3
MNG,Mongolia,46,105
MNP,Northern Mariana Islands,15.2,145.75
MOZ,Mozambique,-18.25,35
MRT,Mauritania,20,-12
MSR,Montserrat,16.75,-62.2
MTQ,Martinique,14.666667,-61
MUS,Mauritius,-20.28333333,57.55
MWI,Malawi,-13.5,34
MYS,Malaysia,2.5,112.5
MYT,Mayotte,-12.83333333,45.16666666
NAM,Namibia,-22,17
NCL,New Caledonia,-21.5,165.5
NER,Niger,16,8
NFK,Norfolk Island,-29.03333333,167.95
NGA,Nigeria,10,8
NIC,Nicaragua,13,-85
NIU,Niue,-19.03333333,-169.86666666
NLD,Netherlands,52.5,5.75
NOR,Norway,62,10
NPL,Nepal,28,84
NRU,Nauru,-0.53333333,166.91666666
NZL,New Zealand,-41,174
OMN,Oman,21,57
PAK,Pakistan,30,70
PAN,Panama,9,-80
PCN,Pitcairn Islands,-25.06666666,-130.1
PER,Peru,-10,-76
PHL,Philippines,13,122
PLW,Palau,7.5,134.5
PNG,Papua New Guinea,-6,147
POL,Poland,52,20
PRI,Puerto Rico,18.25,-66.5
PRK,North Korea,40,127
PRT,Portugal,39.5,-8
PRY,Paraguay,-23,-58
PSE,Palestine,31.9,35.2
PYF,French Polynesia,-15,-140
QAT,Qatar,25.5,51.25
REU,Réunion,-21.15,55.5
ROU,Romania,46,25
RUS,Russia,60,100
RWA,Rwanda,-2,30
SAU,Saudi Arabia,25,45
SDN,Sudan,15,30
SEN,Senegal,14,-14
SGP,Singapore,1.36666666,103.8
SGS,South Georgia,-54.5,-37
SJM,Svalbard and Jan Mayen,78,20
SLB,Solomon Islands,-8,159
