code,name,latitude,longitude
CAN,Canada,60,-95
USA,United States,38,-97
DZA,Algeria,28,3
BFA,Burkina Faso,13,-2
BDI,Burundi,-3.5,30
CMR,Cameroon,6,12
CAF,Central African Republic,7,21
TCD,Chad,15,19
COD,DR Congo,0,25
EGY,Egypt,27,30
ERI,Eritrea,15,39
ETH,Ethiopia,8,38
CIV,Ivory Coast,8,-5
KEN,Kenya,1,38
MLI,Mali,17,-4
MRT,Mauritania,20,-12
MAR,Morocco,32,-5
MOZ,Mozambique,-18.25,35
NER,Niger,16,8
NGA,Nigeria,10,8
RWA,Rwanda,-2,30
SOM,Somalia,10,49
ZAF,South Africa,-29,24
SSD,South Sudan,7,30
SDN,Sudan,15,30
TZA,Tanzania,-6,35
UGA,Uganda,1,32
ESH,Western Sahara,24.5,-13
ZWE,Zimbabwe,-20,30
ALB,Albania,41,20
AUT,Austria,47.33333333,13.33333333
BEL,Belgium,50.83333333,4
BIH,Bosnia and Herzegovina,44,18
BGR,Bulgaria,43,25
HRV,Croatia,45.16666666,15.5
CZE,Czechia,49.75,15.5
DNK,Denmark,56,10
FIN,Finland,64,26
FRA,France,46,2
DEU,Germany,51,9
GRC,Greece,39,22
HUN,Hungary,47,20
ITA,Italy,42.83333333,12.83333333
MKD,Macedonia,41.83333333,22
MLT,Malta,35.83333333,14.58333333
MNE,Montenegro,42.5,19.3
NLD,Netherlands,52.5,5.75
NOR,Norway,62,10
POL,Poland,52,20
PRT,Portugal,39.5,-8
ROU,Romania,46,25
SRB,Serbia,44,21
SVK,Slovakia,48.66666666,19.5
SVN,Slovenia,46.11666666,14.81666666
ESP,Spain,40,-4
SWE,Sweden,62,15
CHE,Switzerland,47,8
GBR,United Kingdom,54,-2
ARM,Armenia,40,45
AZE,Azerbaijan,40.5,47.5
BLR,Belarus,53,28
KAZ,Kazakhstan,48,68
RUS,Russia,60,100
UKR,Ukraine,49,32
UZB,Uzbekistan,41,64
BHR,Bahrain,26,50.55
IRQ,Iraq,33,44
ISR,Israel,31.47,35.13
JOR,Jordan,31,36
LBN,Lebanon,33.83333333,35.83333333
PSE,Palestine,31.9,35.2
QAT,Qatar,25.5,51.25
SAU,Saudi Arabia,25,45
SYR,Syria,35,38
TUR,Turkey,39,35
ARE,United Arab Emirates,24,54
YEM,Yemen,15,48
AFG,Afghanistan,33,65
BGD,Bangladesh,24,90
IND,India,20,77
IRN,Iran,32,53
PAK,Pakistan,30,70
LKA,Sri Lanka,7,81
CHN,China,35,105
HKG,Hong Kong,22.267,114.188
JPN,Japan,36,138
KOR,South Korea,37,127.5
IDN,Indonesia,-5,120
MYS,Malaysia,2.5,112.5
MMR,Myanmar,22,98
PHL,Philippines,13,122
SGP,Singapore,1.36666666,103.8
THA,Thailand,15,100
VNM,Vietnam,16.16666666,107.83333333
AUS,Australia,-27,133
ARG,Argentina,-34,-64
BRA,Brazil,-10,-55
COL,Colombia,4,-72
ECU,Ecuador,-2,-77.5
SLV,El Salvador,13.83333333,-88.91666666
GTM,Guatemala,15.5,-90.25
HND,Honduras,15,-86.5
MEX,Mexico,23,-102
PER,Peru,-10,-76
VEN,Venezuela,8,-66
