source,target,count,label
CAN,USA,842100,Migrants (2015)
CAN,CMR,100,Migrants (2015)
CAN,CAF,100,Migrants (2015)
CAN,EGY,700,Migrants (2015)
CAN,ZAF,6100,Migrants (2015)
CAN,TZA,200,Migrants (2015)
CAN,UGA,200,Migrants (2015)
CAN,ALB,1000,Migrants (2015)
CAN,AUT,2500,Migrants (2015)
CAN,BEL,3100,Migrants (2015)
CAN,BGR,400,Migrants (2015)
CAN,HRV,1000,Migrants (2015)
CAN,CZE,800,Migrants (2015)
CAN,DNK,3800,Migrants (2015)
CAN,FIN,1900,Migrants (2015)
CAN,FRA,25700,Migrants (2015)
CAN,DEU,19600,Migrants (2015)
CAN,GRC,12600,Migrants (2015)
CAN,HUN,2300,Migrants (2015)
CAN,ITA,25500,Migrants (2015)
CAN,MLT,2000,Migrants (2015)
CAN,NLD,9700,Migrants (2015)
CAN,NOR,3000,Migrants (2015)
CAN,POL,2900,Migrants (2015)
CAN,PRT,7000,Migrants (2015)
CAN,SRB,600,Migrants (2015)
CAN,SVK,400,Migrants (2015)
CAN,SVN,400,Migrants (2015)
CAN,ESP,6400,Migrants (2015)
CAN,SWE,3600,Migrants (2015)
CAN,CHE,12300,Migrants (2015)
CAN,GBR,86400,Migrants (2015)
CAN,BLR,100,Migrants (2015)
CAN,RUS,500,Migrants (2015)
CAN,ISR,8100,Migrants (2015)
CAN,JOR,300,Migrants (2015)
CAN,TUR,1400,Migrants (2015)
CAN,IND,1600,Migrants (2015)
CAN,LKA,200,Migrants (2015)
CAN,CHN,8600,Migrants (2015)
CAN,HKG,14600,Migrants (2015)
CAN,JPN,9000,Migrants (2015)
CAN,KOR,14100,Migrants (2015)
CAN,IDN,2000,Migrants (2015)
CAN,PHL,5500,Migrants (2015)
CAN,SGP,4700,Migrants (2015)
CAN,THA,600,Migrants (2015)
CAN,VNM,1400,Migrants (2015)
CAN,AUS,54000,Migrants (2015)
CAN,ARG,500,Migrants (2015)
CAN,BRA,1800,Migrants (2015)
